Br5161	Br5212	Br5287	Br5182	Br5207	CellType	Region
489	363	0	0	0	amy_Astro	amy
141	193	0	0	0	amy_Ex.1	amy
0	40	0	0	0	amy_Ex.2	amy
0	55	0	0	0	amy_Ex.3	amy
16	155	0	0	0	amy_In.1	amy
33	76	0	0	0	amy_In.2	amy
11	24	0	0	0	amy_In.3	amy
24	0	0	0	0	amy_In.4	amy
85	13	0	0	0	amy_In.5	amy
425	339	0	0	0	amy_Micro	amy
1697	1776	0	0	0	amy_Oligo	amy
335	292	0	0	0	amy_OPC	amy
377	124	0	0	0	dlpfc_Astro	dlpfc
78	0	0	0	0	dlpfc_Ex.ambig	dlpfc
22	80	0	0	0	dlpfc_Ex.L2:3	dlpfc
26	8	0	0	0	dlpfc_Ex.L3:4	dlpfc
124	37	0	0	0	dlpfc_Ex.L4:5	dlpfc
29	4	0	0	0	dlpfc_Ex.L5	dlpfc
72	12	0	0	0	dlpfc_Ex.L5:6	dlpfc
79	4	0	0	0	dlpfc_Ex.L6.broad	dlpfc
5	0	0	0	0	dlpfc_In.1	dlpfc
6	1	0	0	0	dlpfc_In.2	dlpfc
14	3	0	0	0	dlpfc_In.3	dlpfc
105	11	0	0	0	dlpfc_In.4	dlpfc
84	43	0	0	0	dlpfc_In.5	dlpfc
79	35	0	0	0	dlpfc_In.6	dlpfc
166	90	0	0	0	dlpfc_Micro	dlpfc
2844	403	0	0	0	dlpfc_Oligo	dlpfc
197	69	0	0	0	dlpfc_OPC	dlpfc
584	582	177	0	0	hpc_Astro	hpc
6	9	101	0	0	hpc_Ex.1	hpc
117	0	0	0	0	hpc_Ex.2	hpc
5	289	16	0	0	hpc_Ex.3	hpc
0	21	5	0	0	hpc_Ex.4	hpc
33	0	0	0	0	hpc_Ex.5	hpc
30	0	0	0	0	hpc_In.1	hpc
34	26	30	0	0	hpc_In.2	hpc
72	37	30	0	0	hpc_In.3	hpc
39	11	5	0	0	hpc_In.4	hpc
28	18	10	0	0	hpc_In.5	hpc
520	536	197	0	0	hpc_Micro	hpc
2594	2198	1093	0	0	hpc_Oligo	hpc
395	263	206	0	0	hpc_OPC	hpc
13	10	3	0	0	hpc_Tcell	hpc
149	384	12	0	0	nac_Astro	nac
1	3	0	16	5	nac_In.1	nac
1	1	1	42	11	nac_In.2	nac
7	7	9	86	167	nac_In.3	nac
9	8	4	104	58	nac_In.4	nac
72	72	37	0	0	nac_Micro	nac
2	0	0	117	13	nac_MSN.D1.1	nac
10	3	0	285	3	nac_MSN.D1.2	nac
17	8	6	369	319	nac_MSN.D1.3	nac
178	169	72	1505	1829	nac_MSN.D1.4	nac
9	6	3	134	148	nac_MSN.D2.1	nac
41	113	5	1602	1870	nac_MSN.D2.2	nac
1454	854	499	0	0	nac_Oligo	nac
98	104	37	0	0	nac_OPC	nac
188	435	0	0	0	sacc_Astro	sacc
187	399	0	0	0	sacc_Ex.1	sacc
151	259	0	0	0	sacc_Ex.2	sacc
68	117	0	0	0	sacc_Ex.3	sacc
38	47	0	0	0	sacc_Ex.4	sacc
142	373	0	0	0	sacc_In.1	sacc
82	233	0	0	0	sacc_In.2	sacc
235	267	0	0	0	sacc_Micro	sacc
1852	1400	0	0	0	sacc_Oligo	sacc
227	304	0	0	0	sacc_OPC	sacc
